func_module_number	lst
64	GO:0016055;GO:0060070;GO:0035567;GO:0030111;GO:0045165;GO:0071300;GO:0032526;GO:0060828;GO:1904948;GO:0060071;GO:0030178;GO:0030177;GO:0071542;GO:0090090;GO:0030901;GO:0043010;GO:0071396;GO:0009790;GO:0033993;GO:0001654;GO:0001503;GO:0150063
65	GO:0031146;GO:0006511;GO:0019941
66	GO:0071827;GO:0071825;GO:0097006;GO:0034368;GO:0034369;GO:0034367;GO:0030301;GO:0015918;GO:0033344;GO:0010876;GO:0034375;GO:0043691;GO:0006869;GO:0034372;GO:0034370;GO:0033700;GO:0034377;GO:0006641;GO:0065005;GO:0046486;GO:0015850;GO:1905952;GO:0042632;GO:0006638;GO:0006639;GO:0055092;GO:0032371;GO:0032374;GO:0015914;GO:0055088
67	GO:0046488;GO:0006650;GO:0006661;GO:0046486;GO:0006644;GO:0046474;GO:0045017;GO:0008654;GO:0090407;GO:0046856;GO:0008610;GO:0046854;GO:0046839;GO:0016311
68	GO:0006383;GO:0042797;GO:0009304;GO:0042791;GO:0009301
69	GO:0006261;GO:0006260;GO:0006270;GO:0000727;GO:0032508;GO:0006268;GO:0032392;GO:0071103;GO:0033260;GO:0044786
70	GO:0000165;GO:0070371;GO:0043408;GO:0007264;GO:0007265
71	GO:0006470;GO:0016311;GO:0009250;GO:0005978;GO:0005977;GO:0044042;GO:0000271;GO:0006112;GO:0005979;GO:0010962
72	GO:0044772;GO:0000278;GO:0044770;GO:1903047;GO:1904029;GO:0000082;GO:0044843;GO:0000079;GO:0000086
73	GO:0006406;GO:0051028;GO:0006405;GO:0050658;GO:0050657;GO:0051236
74	GO:0007268;GO:0098916;GO:0099537;GO:0099536;GO:0050808;GO:0071625;GO:0007158;GO:0097104;GO:0007416;GO:0034330;GO:0035176;GO:0050804;GO:0099177;GO:0098815;GO:0099054;GO:0051703;GO:0099172;GO:0099068;GO:0030534;GO:0060079;GO:0001941;GO:0034329
75	GO:0061077;GO:0006457;GO:1904851;GO:0070203;GO:1904871;GO:1904869;GO:1903405;GO:0070202;GO:1904867;GO:1904816;GO:1990173;GO:1904874;GO:1904814;GO:0051604
76	GO:0000226;GO:0000278;GO:0031110;GO:0031113;GO:0031109
