func_module_number	lst
148	GO:0038165;GO:0030198;GO:0043062;GO:0045229;GO:0002526;GO:0002675;GO:0070120;GO:0002673
149	GO:0070681;GO:0050957
150	GO:0048490;GO:0099514;GO:0099517;GO:0048489;GO:0048753;GO:0032438;GO:0097479;GO:0008089;GO:0047496;GO:0098930;GO:0033059;GO:0008088
151	GO:0038110;GO:0071352
152	GO:0016264;GO:0048268;GO:0006897
154	GO:0000301;GO:0048193
155	GO:0045216;GO:0016338;GO:0070830;GO:0120192
156	GO:0006605;GO:0048193
157	GO:0140238;GO:0048488
158	GO:0022617;GO:0030574;GO:0030198;GO:0043062;GO:0051135
159	GO:0045197;GO:0035088;GO:0061245;GO:0007163
160	GO:0032729;GO:0032609;GO:0032649;GO:2000330;GO:2000328;GO:0010455;GO:0043382;GO:2000321;GO:0035722;GO:0090715;GO:0043380;GO:0043379
163	GO:0007035;GO:0051452;GO:1902600;GO:0051453;GO:0030641;GO:0006885;GO:0016241;GO:0061795;GO:0048388;GO:0007042
164	GO:0071560;GO:0071559;GO:0071363;GO:0070848;GO:0060395
165	GO:0042730;GO:0051918;GO:1900047;GO:0030195;GO:0050819;GO:0051917;GO:0030193;GO:1900046;GO:0050818;GO:0061045
166	GO:0042659;GO:0006325;GO:0010453
167	GO:0050852;GO:0050851;GO:0002429;GO:0002768;GO:0002757;GO:0002764;GO:0002253;GO:0050778;GO:0050776;GO:0042110
168	GO:0010463
169	GO:0007596;GO:0050817;GO:0007599
170	GO:0006956;GO:0006959;GO:0002253
171	GO:0071827;GO:0071825;GO:0055088;GO:0097006;GO:0042632;GO:0055092;GO:0034368;GO:0034369;GO:0055090;GO:0070328
172	GO:0045104
173	GO:0030029;GO:0030036
174	GO:0009117;GO:0006753;GO:0005975;GO:0006091;GO:0055086;GO:0009156;GO:0009112;GO:0009124;GO:0009259;GO:0019693;GO:0009161
175	GO:0061061;GO:0030029
179	GO:1903047;GO:0000278;GO:0000226
181	GO:0098813;GO:0007059;GO:0000280
182	GO:0098813;GO:0007094;GO:0071174;GO:0071173;GO:0033046;GO:0045841;GO:2000816;GO:0031577;GO:0033048;GO:1905819;GO:1902100;GO:0051985;GO:0033047;GO:0008608;GO:0045839;GO:0140014;GO:0030071;GO:0010965;GO:1902099;GO:0051784
184	GO:1902600;GO:0006540
185	GO:0007210;GO:1903350;GO:1903351
186	GO:0002444;GO:0038157;GO:0043313;GO:0007229;GO:0043312;GO:0002443;GO:0043299;GO:0002274;GO:0002275;GO:0032930;GO:0002283;GO:0032928;GO:0033627
187	GO:0072524;GO:0006098;GO:0006740
190	GO:0035583;GO:0071694;GO:0035581
191	GO:0045739;GO:2000819;GO:0070316;GO:0051054;GO:0045023;GO:0006282;GO:0033044;GO:0051052;GO:0006338;GO:0045663;GO:0006325;GO:0006289;GO:0045661;GO:2000781;GO:0030071;GO:1902099;GO:0007091;GO:0044784;GO:0080135;GO:0051276;GO:0033045;GO:2000045;GO:0045445;GO:0006281;GO:0051983;GO:0000819;GO:1902806
192	GO:0019430;GO:0000303;GO:0071450;GO:0071451
193	GO:0034612;GO:0043122;GO:1901652;GO:0034097;GO:0007249
194	GO:0048013
195	GO:0006506;GO:0006505;GO:0180046;GO:0009247;GO:0006664;GO:1903509;GO:0006661
196	GO:0010512;GO:0048146;GO:0035793;GO:1900238;GO:2000591
197	GO:0036258;GO:0036257;GO:0045324;GO:0032509;GO:0071985;GO:0046761;GO:0046753;GO:0043162;GO:0007032;GO:0061952;GO:0032510;GO:0090148;GO:0039702;GO:1902774;GO:0046755;GO:1902410;GO:0031468;GO:0001778;GO:1904903;GO:1904896;GO:0035891;GO:0019076;GO:0061763;GO:0051469;GO:0000281;GO:0019068;GO:0097576;GO:1901673;GO:0032506;GO:0097212
198	GO:0140053;GO:0032543;GO:0062125;GO:0070129
