go-basic.obo: fmt(1.2) rel(2024-10-27) 44,017 Terms
goslim_pir.obo: fmt(1.2) rel(go/2024-11-03/subsets/goslim_pir.owl) 626 Terms
HMS:0:00:00.007807   3,203 annotations READ: go_slim_results_M1_string_0.1.txt 
492 IDs in all associations
func_module_number	
631	GO:0009117
632	GO:0022607;GO:0006996
635	GO:0050789
637	GO:0051606
641	GO:0016043
642	GO:0050789;GO:0050896
644	GO:0022411;GO:0006996
646	GO:0009057;GO:0009059;GO:0016070;GO:0050789
648	GO:0065009;GO:0009059;GO:0050789;GO:0006259
649	GO:0036211;GO:0006281
651	GO:0050789
652	GO:0016070;GO:0006396
653	GO:0016192;GO:0050789;GO:0046903
654	GO:0065003;GO:0007005
656	GO:0008150
657	GO:0015031
660	GO:0009057;GO:0006508
662	GO:0008150
671	GO:0016192;GO:0051641
679	GO:0036211
681	GO:0050789
685	GO:0006811
688	GO:0006811
689	GO:0016043
690	GO:0042254
691	GO:0051641;GO:0051234
696	GO:0006793
697	GO:0050789
699	GO:0061024;GO:0051641
701	GO:0050789
702	GO:0050789;GO:0006260
703	GO:0006259
705	GO:0051276;GO:0006281
706	GO:0051641;GO:0015931
708	GO:0016070;GO:0006396
711	GO:0016070;GO:0050789;GO:0000375
713	GO:0016192;GO:0051641
715	GO:0016043;GO:0050789
716	GO:0016043;GO:0050789
718	GO:0016192
721	GO:0009117;GO:0006281;GO:0006304
723	GO:0016192;GO:0051641
725	GO:0050789
732	GO:0032501
737	GO:0007155
741	GO:0044419;GO:0002376;GO:0050896
746	GO:0043170
752	GO:0002376;GO:0050789
756	GO:0051180
762	GO:0051641;GO:0050789;GO:0051640;GO:0006810
763	GO:0022607;GO:0006996
766	GO:0006082
768	GO:0032502;GO:0022414
778	GO:0050789
784	GO:0032502;GO:0050789
786	GO:0050789
788	GO:0032502;GO:0032501
798	GO:0051641;GO:0051640;GO:0006810
800	GO:0061024
801	GO:0006629;GO:0006793
802	GO:0051261
805	GO:0050789;GO:0051276
808	GO:0050789;GO:0050896
809	GO:0016043
810	GO:0050789;GO:0051276
