func_module_number	lst
57	GO:0007169;GO:0007167;GO:0043491;GO:0018108;GO:0018212;GO:0046854;GO:0046488;GO:0043408;GO:0032956;GO:0006661;GO:0032970;GO:0000165;GO:0046777;GO:0030335;GO:0051896;GO:0051897;GO:0008284;GO:2000147;GO:0043410;GO:0040017
58	GO:0030198;GO:0043062;GO:0045229;GO:0030199;GO:0035987;GO:0001706;GO:0048646;GO:0007492;GO:0001704;GO:0001501
59	GO:0006457
61	GO:0001836;GO:0008637;GO:0090200;GO:0090199;GO:0007005;GO:0097192;GO:0097190;GO:0038034;GO:0008630
63	GO:0048598;GO:0009887;GO:0016055;GO:0060070;GO:0009790
64	GO:0006954;GO:0032651;GO:0032611;GO:0032612;GO:0032652;GO:0032731;GO:0032732;GO:0050727;GO:0031347;GO:0001817;GO:0001816;GO:0031349;GO:0070269;GO:0140632;GO:0002221;GO:0001819;GO:0141084;GO:0002758;GO:0032103;GO:0051090;GO:0002218
66	GO:0006383;GO:0042797;GO:0009304
67	GO:0030198;GO:0043062;GO:0045229
69	GO:0006816;GO:0070588;GO:0030001;GO:0006812;GO:0006874;GO:0055074;GO:0098655;GO:0098771;GO:0034220;GO:0055080
70	GO:0016180;GO:0034243
71	GO:0036151
73	GO:0099536;GO:0099537;GO:0007268;GO:0098916;GO:1990806;GO:0035235;GO:0050804;GO:0099177;GO:0048168;GO:0060079;GO:0099565;GO:0048167;GO:0098815;GO:0034762;GO:0060078;GO:0044057;GO:0007215;GO:2000463;GO:0043269;GO:1904062;GO:0006816
74	GO:0002475;GO:0019883;GO:0001916
75	GO:0097006;GO:0071827;GO:0071825;GO:0010876;GO:0034369;GO:0034368;GO:0033344;GO:0034367;GO:0030301;GO:0015918;GO:0034370;GO:0034372;GO:0006869;GO:0032374;GO:0032371;GO:0070328;GO:0055090;GO:0042632;GO:0055092;GO:0033700
76	GO:0030198;GO:0043062;GO:0045229;GO:0048048;GO:0001501;GO:0048050
77	GO:0006260
78	GO:0001932;GO:0042325;GO:0031401;GO:0001934;GO:0042327;GO:0010562;GO:0045937;GO:0000165;GO:0006457;GO:0042026;GO:0035966;GO:0071900;GO:0071902;GO:0045859;GO:0043549;GO:0009408
79	GO:0019221;GO:0071345;GO:0034097;GO:1901652;GO:0007259;GO:0097696;GO:0071375;GO:0043434;GO:0007169;GO:0032870;GO:0060396;GO:0071378;GO:0007167;GO:0060416;GO:1901699;GO:0060397;GO:0009725;GO:0018108;GO:0018212;GO:1901701;GO:1901698;GO:0071352;GO:0038110;GO:0070669;GO:0035723;GO:0071350;GO:0070672;GO:0046425;GO:1904892;GO:0071355;GO:0038113;GO:0071104;GO:0008284;GO:0008286
80	GO:0006470;GO:0016311;GO:0035337;GO:1901570
81	GO:0060260;GO:0060261;GO:2000142;GO:2000144
82	GO:0048490;GO:0099514;GO:0099517;GO:0098930;GO:0048489;GO:0008088;GO:0032438;GO:0048753;GO:0097479;GO:0008089;GO:0047496
83	GO:0007389;GO:0003002;GO:0009952
86	GO:0150104;GO:0010232;GO:0015711;GO:0042908;GO:0003018;GO:0072337
88	GO:0006888;GO:0048193;GO:0035459
89	GO:0035249;GO:0050804;GO:0099177
90	GO:0006281;GO:0006974;GO:0000723;GO:0006310;GO:0032200;GO:0006302;GO:0006260;GO:0051052;GO:0051276;GO:0006261;GO:0010948;GO:0000077;GO:0031570;GO:0045786;GO:0042770;GO:0000725;GO:0000075;GO:0045005;GO:0051054;GO:1901988;GO:0031297;GO:0010564;GO:0009314;GO:0010212;GO:0000724;GO:1901987;GO:0044770;GO:0071897;GO:0071478;GO:0071479;GO:0051053;GO:0010833;GO:0009628;GO:0007093;GO:0071214;GO:0104004;GO:2001252;GO:0032206
91	GO:0006897;GO:0006509;GO:0140238;GO:0048488;GO:0098657;GO:0036465;GO:0033619
92	GO:0007186;GO:0007188;GO:0007200;GO:0099536;GO:0007193;GO:0007187;GO:0007213;GO:1903350;GO:1903351
94	GO:0034243;GO:0042795;GO:0032784
95	GO:0006956;GO:0002253
96	GO:0099022;GO:0006901;GO:0006903;GO:0006900;GO:0048207;GO:0048208
98	GO:0015819
99	GO:0006893
100	GO:0098609
101	GO:0036503;GO:0010498;GO:0051603
102	GO:0051169;GO:0006913;GO:0006606;GO:0051170;GO:0034504;GO:0072594;GO:0050657;GO:0050658;GO:0051168
103	GO:0006820;GO:0098656;GO:0015711;GO:0098739;GO:0006884;GO:0006865;GO:0046942;GO:0015849;GO:0055081;GO:0055064
104	GO:1902455;GO:1902459;GO:2000036;GO:0030512;GO:0019827;GO:0098727;GO:0017015
105	GO:1903432;GO:0038202;GO:0032006;GO:0031929;GO:1904263;GO:0034198;GO:1990928
107	GO:0035654;GO:0035652;GO:0099517;GO:0099514;GO:0048490;GO:1903232;GO:0060155;GO:0016183;GO:0048489;GO:0035459;GO:0016185;GO:0070142
108	GO:0006364;GO:0016072;GO:0042254;GO:0030490
109	GO:0000165;GO:0051403;GO:0031098;GO:0007254;GO:0038066;GO:0043506
110	GO:0006303;GO:0006266;GO:0051103
111	GO:0071805;GO:0006813;GO:0098662;GO:0098655;GO:0098660;GO:0034220;GO:0030001;GO:0006812;GO:1901379;GO:0099623;GO:0043266;GO:0060306;GO:0098915;GO:0099622;GO:0060307;GO:0001508;GO:0086001;GO:0099625;GO:0086009;GO:1901016;GO:0086002
112	GO:0005977;GO:0044042;GO:0006112;GO:0005976;GO:0005975;GO:0015980
113	GO:0046391;GO:0006015
115	GO:0032446;GO:0043687;GO:0070647;GO:0045116;GO:0000338;GO:2000434;GO:0006511;GO:0051603
116	GO:0030574;GO:0030198;GO:0043062;GO:0045229;GO:0022617;GO:0032963;GO:0022411;GO:0071492
117	GO:0008655;GO:0051014
118	GO:0050864;GO:0042113
119	GO:0007186;GO:0007217;GO:0030072;GO:0002790;GO:0010817;GO:0015833
120	GO:1904357;GO:0032205;GO:0010833;GO:0000712;GO:0072429;GO:0140527;GO:0007131
121	GO:0006418;GO:0043039;GO:0043038
122	GO:0006744;GO:1901663;GO:0006743;GO:1901661;GO:0042181;GO:0006119;GO:0009060;GO:0042180;GO:0045333
123	GO:0042531;GO:0042509;GO:0007260;GO:0070120;GO:0050731;GO:0007259
125	GO:0033141;GO:0033139;GO:0042501;GO:0002323;GO:0043330;GO:0043331;GO:0098586;GO:0060337;GO:0071357;GO:0030101;GO:0034340;GO:0140888;GO:0042100;GO:0033138
126	GO:0032877;GO:0060718;GO:0060717
128	GO:0008380;GO:0006397;GO:0000398;GO:0000377;GO:0000375;GO:0043484
129	GO:1904851;GO:1904871;GO:1904869;GO:0070203;GO:0070202;GO:1903405;GO:1904867;GO:1904816;GO:1990173;GO:1904814;GO:1904874;GO:0070200;GO:1904872;GO:0090685;GO:0090672;GO:0090671;GO:0090670
132	GO:0007411;GO:0097485;GO:0007409;GO:0048812;GO:0002183;GO:0120039;GO:0048858;GO:0061564
134	GO:0007015;GO:0030036;GO:0030029;GO:0097435;GO:0110053;GO:0032956;GO:0044087;GO:0051493;GO:0032970
136	GO:0034063;GO:0006401;GO:0141188;GO:0006402;GO:0061013;GO:0006417;GO:0043488;GO:0043487;GO:0010608;GO:0006412;GO:0034655
137	GO:0000122;GO:0006325;GO:0042659;GO:0001708;GO:0010453;GO:0006338;GO:2000736;GO:0045165
138	GO:0008154;GO:0030036;GO:0007015;GO:0030029;GO:0030041;GO:0097435;GO:0051258;GO:0000902;GO:0110053;GO:0032956;GO:2000601;GO:0032970;GO:1902903;GO:1902905
139	GO:0001867;GO:0006956;GO:1903028;GO:1903027;GO:0008228;GO:0006910;GO:0008543;GO:0044344;GO:0071774;GO:0006959;GO:0008037
140	GO:0042744;GO:0042743
141	GO:0035493;GO:0006906;GO:0090174;GO:0034058;GO:0035542
142	GO:0038180;GO:0051402;GO:1990090;GO:1990089;GO:0038179
144	GO:0051459;GO:0051458
146	GO:0140588;GO:0016925;GO:0018205;GO:0000724;GO:0032204;GO:0000725
148	GO:0007031;GO:0043574;GO:0015919;GO:0072662;GO:0072663;GO:0016558;GO:0065002
149	GO:0035721;GO:0061512;GO:0042073;GO:0099111
150	GO:0072383
151	GO:1903944;GO:1990044;GO:1903943
153	GO:0007169;GO:0007167;GO:0031589;GO:0051493;GO:0007015;GO:0097435;GO:1902903;GO:0034446;GO:0032271;GO:0010810;GO:0032956;GO:0007229;GO:0007160
156	GO:0033344;GO:0010949;GO:0060752;GO:0045796;GO:1904730
158	GO:0007264;GO:0007265
159	GO:0007018;GO:0008089;GO:0047497;GO:0034643
160	GO:0060271;GO:0044782;GO:0051904;GO:0032402;GO:0032401;GO:0051905;GO:0032400;GO:0051875;GO:0120031;GO:0030031;GO:0045494;GO:0001895;GO:0033059
161	GO:0046631;GO:0046634;GO:0046632;GO:0002294;GO:0002293;GO:0002287;GO:0002292;GO:0043367;GO:0046637;GO:0045580;GO:0035710;GO:0042093;GO:0030217;GO:0002286;GO:0050863;GO:0045619;GO:0042110;GO:0043370;GO:0042088;GO:0051249;GO:2000514;GO:0045622;GO:0030098;GO:0001819;GO:0002285;GO:1902105;GO:0019221;GO:0002694;GO:0071345;GO:0002250;GO:0046649;GO:0050865;GO:1903131;GO:0034097;GO:1901652;GO:0072539;GO:0002366;GO:0002263;GO:1903706;GO:0032729;GO:0045321;GO:0002521;GO:0009615;GO:0072538;GO:0072540;GO:2000319;GO:0001817;GO:0001816;GO:0002460;GO:0002825;GO:0002295
162	GO:0097237;GO:1990748;GO:0006090;GO:0009636;GO:0006091;GO:0098869;GO:0006979;GO:0098754;GO:0000302;GO:0046032;GO:0006096;GO:0009137;GO:0009181;GO:0046031;GO:0019362;GO:0046496;GO:0009179;GO:0019364;GO:0009191;GO:0009135
