func_module_number	go_slim_pir
352	GO:0050789
355	GO:0006811
356	GO:0051234;GO:0022414;GO:0051276;GO:0051640
360	GO:0032196;GO:0006396
361	GO:0022607;GO:0007155
362	GO:0006112;GO:0005976
363	GO:0006082;GO:0043603;GO:0006629;GO:0006790
367	GO:0050789
372	GO:0009059;GO:0002376;GO:0051276;GO:0001775;GO:0006259;GO:0050896;GO:0050789
377	GO:0008152;GO:0050896
379	GO:0032501;GO:0006081;GO:0006139;GO:0050878;GO:0006091;GO:0006793
380	GO:0050896;GO:0050789
381	GO:0050789
382	GO:0006082;GO:0006520;GO:0006790
383	GO:0007155
386	GO:0050789
389	GO:0022607
394	GO:0050789
400	GO:0050896;GO:0002376
402	GO:0016070;GO:0006396
404	GO:0042440;GO:0050789
405	GO:0006996;GO:0006629;GO:0050789
406	GO:0022607
408	GO:0006869
413	GO:0016070;GO:0043412;GO:0006396
416	GO:0042445;GO:0043603;GO:0006508;GO:0051604
418	GO:0051641;GO:0006996
420	GO:0051606
425	GO:0006629;GO:0006066
429	GO:0044419
