func_module_number	lst
143	GO:0001934;GO:0051962;GO:0045597;GO:0042327;GO:0050769;GO:0045937;GO:0010562;GO:0050731;GO:0050679;GO:0051960;GO:0031401;GO:0001932;GO:0042063;GO:0050767;GO:0042330;GO:0006935;GO:0050921;GO:0001763;GO:0042325
144	GO:0098742;GO:0098609;GO:0048812;GO:0120039;GO:0048858;GO:0007156;GO:0048667
146	GO:0050914;GO:1904044;GO:1904045;GO:1904116;GO:1904117;GO:0071389
164	GO:0140053;GO:0032543;GO:0016054;GO:0046395;GO:0044248;GO:0019752;GO:0043436;GO:0006082;GO:0044282
167	GO:1901071
170	GO:0098742
171	GO:0007005;GO:0006839;GO:0007006;GO:0007007;GO:0090151;GO:0007008;GO:0045040;GO:0006626
172	GO:0006839;GO:0070585;GO:0007031;GO:0007005;GO:1990542;GO:0044743;GO:0170036
173	GO:0006691;GO:0006690;GO:0034638
174	GO:0035269;GO:0035268;GO:0097502
175	GO:0009100;GO:0009101;GO:1901137;GO:0070085;GO:0006486;GO:0043413;GO:0006023;GO:0006022;GO:0030166;GO:0030203;GO:0006024
177	GO:0002025;GO:0001993;GO:0003085;GO:0042311
180	GO:0000956;GO:0000288;GO:0061157;GO:0006402;GO:0050779;GO:0061014;GO:0006401;GO:0043488;GO:1903313;GO:0141188;GO:0043487
188	GO:1903311;GO:0016071;GO:0016032;GO:0007080;GO:0010608;GO:0000278;GO:0010564;GO:0043488;GO:0006397;GO:0043487;GO:0000377;GO:0000398
189	GO:0008380;GO:0016071;GO:0006397;GO:0000375;GO:1903311;GO:0000398;GO:0000377;GO:0010608;GO:0045727;GO:0043484;GO:0006417;GO:0050684
193	GO:1904507;GO:0060382;GO:1904505;GO:0043247;GO:0022616;GO:0045995;GO:0032206
195	GO:0007219
220	GO:0031341;GO:0002703;GO:0002253;GO:0002697;GO:0001906;GO:0002698;GO:0002252;GO:0002706
221	GO:0007229;GO:0098609;GO:0007160;GO:0033627;GO:0031589;GO:0045321;GO:0034113;GO:0045123;GO:0006897
223	GO:0046512;GO:0046520;GO:0034312;GO:0006670;GO:0046519
230	GO:0007264;GO:0051056;GO:0007266;GO:0030036;GO:0030029;GO:0007015;GO:0031032;GO:0046847;GO:0032956
231	GO:0038203
233	GO:0061919;GO:0006914;GO:0010506;GO:0018105;GO:0001932;GO:0018209;GO:0042325;GO:0044087;GO:0000165;GO:0043066;GO:0043069;GO:1901699;GO:0051050;GO:0031400
234	GO:0006457;GO:0006888
235	GO:0006418;GO:0043038;GO:0043039;GO:0006753;GO:0055086;GO:0009117;GO:0006520;GO:0072521;GO:0006163;GO:0006167;GO:0009124;GO:1901293;GO:0009168;GO:0006399;GO:0009127;GO:0044208;GO:0090407;GO:0046033;GO:0009123;GO:0009150;GO:0009259;GO:0009156
238	GO:0098703
239	GO:0006325;GO:0006338;GO:2000819;GO:0070316;GO:0045023;GO:0006289;GO:0045663;GO:0006974;GO:2000781;GO:0045739;GO:2000779;GO:0045661;GO:0030071;GO:0006281;GO:1902099;GO:0007091;GO:0044784;GO:0006302;GO:0006282;GO:0033045;GO:0045445;GO:0051054;GO:0051983;GO:0040029;GO:0034728
240	GO:0006325;GO:0006338;GO:0034728
245	GO:0006123
248	GO:0007186;GO:0007188;GO:0007189;GO:0007200;GO:0007187;GO:0014070;GO:0007193;GO:1903350;GO:1903351;GO:0071867;GO:0071868;GO:0071869;GO:0071870;GO:0007212;GO:0060158;GO:0099536;GO:0071407
249	GO:0007186;GO:0007188;GO:0007189;GO:0007212;GO:0007193
251	GO:0008380;GO:0006397;GO:0000375;GO:0000398;GO:0000377
257	GO:0000082;GO:0044843;GO:0044772;GO:0018105;GO:0045859;GO:0000079;GO:0018209;GO:0007346;GO:1904029;GO:0043549;GO:1901990;GO:0044770
262	GO:0019752;GO:0043436;GO:0006082;GO:0016054;GO:0046395;GO:0044248;GO:0044282
263	GO:0007005;GO:0045333;GO:0006839;GO:0006091;GO:0015980;GO:0009060;GO:0006119;GO:0006754;GO:0009206;GO:0009145;GO:0009201;GO:0009142
272	GO:0031145;GO:0051445;GO:0070979;GO:2000241;GO:0051321;GO:0007346;GO:0016567;GO:0043161;GO:0019953
274	GO:0000724;GO:0000725;GO:0006310
275	GO:0030029;GO:0030036;GO:0030239;GO:0055001;GO:0003012;GO:0006936;GO:0032989;GO:0010927;GO:0055002
277	GO:0006914;GO:0061919;GO:0016236;GO:0000045;GO:1905037;GO:0007033;GO:0010506;GO:0044804;GO:0006995;GO:0043562
280	GO:0000226
283	GO:0038130
284	GO:0032968
