go-basic.obo: fmt(1.2) rel(2024-10-27) 44,017 Terms
goslim_pir.obo: fmt(1.2) rel(go/2024-11-03/subsets/goslim_pir.owl) 626 Terms
HMS:0:00:00.006376   2,965 annotations READ: go_slim_results_K1_string_0.0.txt 
428 IDs in all associations
func_module_number	
436	GO:0006260;GO:0051276;GO:0009059;GO:0050789;GO:0065009;GO:0006281
438	GO:0050789;GO:0006793;GO:0036211
439	GO:0050789
440	GO:0006396;GO:0016070
441	GO:0065008;GO:0051258;GO:0050789;GO:0006996
442	GO:0050789;GO:0022607;GO:0006996
443	GO:0006790;GO:0006793;GO:0043603;GO:0045333;GO:0006139;GO:0006082
447	GO:0015849;GO:0006865;GO:0006836
451	GO:0032502
452	GO:0050789;GO:0032502;GO:0016043
454	GO:0050789;GO:0050896
455	GO:0050789
456	GO:0050789;GO:0006996
457	GO:0016192;GO:0061024;GO:0051641
458	GO:0005976;GO:0006112;GO:0009059
465	GO:0050789;GO:0031640;GO:0050896
468	GO:0031023;GO:0022607;GO:0006996
472	GO:0032502;GO:0006996
473	GO:0051641;GO:0015931
475	GO:0051604;GO:0006457;GO:0031647;GO:0065003
482	GO:0006811
484	GO:0051606
485	GO:0015031;GO:0007031
486	GO:0051604
487	GO:0015849;GO:0006865
491	GO:0016050;GO:0051641;GO:0016192;GO:0061024
493	GO:0007029
495	GO:0065008;GO:0050789
496	GO:0008015;GO:0007154;GO:0065008;GO:0050789;GO:0065009;GO:0050896
497	GO:0050789;GO:0007155
498	GO:0050896;GO:0044419;GO:0002376
499	GO:0016192
501	GO:0043412;GO:0016070
502	GO:0050789
503	GO:0006508;GO:0051604
504	GO:0043412;GO:0016070
505	GO:0043412;GO:0006396;GO:0016070;GO:0042254
506	GO:0006810
508	GO:0065008
509	GO:0032502;GO:0032501;GO:0022607;GO:0065008;GO:0050789
512	GO:0006869
514	GO:0050789;GO:0032502;GO:0032501;GO:0006281
515	GO:0050789;GO:0032502;GO:0032501
517	GO:0002376;GO:0044419;GO:0001816;GO:0050789;GO:0065009;GO:0050896
518	GO:0002376;GO:0044419;GO:0001816;GO:0050789;GO:0065009;GO:0050896
523	GO:0050789;GO:0009308;GO:0006520;GO:0006082
525	GO:0006996
526	GO:0006793;GO:0006629
527	GO:0050789;GO:0007005
535	GO:0006091;GO:0005975;GO:0009117;GO:0006082
536	GO:0036211
544	GO:0006518
547	GO:0006790;GO:0006793;GO:0043603;GO:0006629;GO:0006139;GO:0006082
548	GO:0006508
549	GO:0006629;GO:0006869;GO:0006082
550	GO:0015849;GO:0042908
551	GO:0043062;GO:0022607;GO:0045229
556	GO:0002376;GO:0001775;GO:0036211;GO:0006793;GO:0016192;GO:0050789
557	GO:0050789;GO:0001775;GO:0050896;GO:0002376
558	GO:0006457
562	GO:0050789;GO:0022607;GO:0006996
566	GO:0008643;GO:0015791
567	GO:0050789;GO:0016043
568	GO:0050789;GO:0050896
570	GO:0050789;GO:0016049;GO:0050896
572	GO:0050789
580	GO:0022607
581	GO:0050789;GO:0006396
582	GO:0050789;GO:0006396;GO:0016070
585	GO:0036211;GO:0050896
596	GO:0050896;GO:0006457
597	GO:0032502;GO:0008283;GO:0043062;GO:0045229;GO:0050789
598	GO:0043062;GO:0045229;GO:0008152
599	GO:0050789;GO:0050896;GO:0044419;GO:0002376
602	GO:0065003;GO:0022414;GO:0032501;GO:0006996;GO:0006396;GO:0048469;GO:0050789;GO:0007028
603	GO:0006520;GO:0016070
604	GO:0042180
607	GO:0032502;GO:0016043
608	GO:0006811
609	GO:0050789
612	GO:0006629;GO:0006066
614	GO:0050789
615	GO:0050789
619	GO:0050789
624	GO:0043412;GO:0006396;GO:0016070
630	GO:0006811
631	GO:0009057
633	GO:0015931
634	GO:0065008;GO:0006811
635	GO:0051641;GO:0016192
638	GO:0006869;GO:0032501;GO:0016043;GO:0051180;GO:0016192;GO:0050789
639	GO:0050789;GO:0050896;GO:0044419;GO:0002376
640	GO:0050817;GO:0043062;GO:0022411;GO:0006508;GO:0045229;GO:0050878;GO:0051604
641	GO:0065008;GO:0016070;GO:0009057;GO:0050789
643	GO:0006119;GO:0009117
644	GO:0006082
645	GO:0036211;GO:0006508;GO:0044419;GO:0009057;GO:0050789;GO:0050896
646	GO:0036211
647	GO:0050896
650	GO:0051234;GO:0051641;GO:0006629;GO:0006066
651	GO:0006281;GO:0016043
652	GO:0016043
654	GO:0050789;GO:0006793;GO:0065009;GO:0036211
655	GO:0006996
658	GO:0006996
659	GO:0008150
661	GO:0050789
664	GO:0006793;GO:0006520;GO:0006139;GO:0006082
665	GO:0008152
666	GO:0006520;GO:0006082
667	GO:0051604
668	GO:0015849;GO:0006865
669	GO:0006811
672	GO:0036211;GO:0009057
673	GO:0007033;GO:0006914;GO:0022607
674	GO:0050789;GO:0007005;GO:0048284
677	GO:0065008;GO:0016070;GO:0009057;GO:0050789
678	GO:0050789;GO:0016070;GO:0000375;GO:0009057
680	GO:0007005;GO:0065003;GO:0006810
681	GO:0007005;GO:0051641;GO:0061024;GO:0006810
682	GO:0006091;GO:0005975;GO:0009117;GO:0006082
687	GO:0050789;GO:0048511;GO:0032502;GO:0006351
688	GO:0016192
689	GO:0050789
693	GO:0006396
697	GO:0050789;GO:0006281
698	GO:0050789;GO:0051276;GO:0007059;GO:0000280
700	GO:0065008;GO:0006810
701	GO:0016192;GO:0051641
704	GO:0006869
705	GO:0016192;GO:0051641
706	GO:0050789;GO:0046903;GO:0016192;GO:0007154
707	GO:0036211;GO:0006508;GO:0009057;GO:0015031;GO:0050896
711	GO:0008152
714	GO:0065003
716	GO:0050789
722	GO:0032501;GO:0006996
723	GO:0050789;GO:0016070;GO:0009057
724	GO:0006520;GO:0022607;GO:0006082
725	GO:0009117
726	GO:0036211;GO:0015031
730	GO:0065008;GO:0007005;GO:0061024;GO:0050789
731	GO:0007029;GO:0005975;GO:0061024;GO:0009225
732	GO:0007029;GO:0051641;GO:0050789
735	GO:0006793
736	GO:0006790;GO:0019538;GO:0009059
740	GO:0050789
741	GO:0008150
745	GO:0022607;GO:0006996
747	GO:0008643
749	GO:0036211
752	GO:0016043
753	GO:0006790;GO:0019538;GO:0009059
757	GO:0008152;GO:0006810
758	GO:0036211
763	GO:0006091;GO:0005975;GO:0009117;GO:0006082
766	GO:0050789
771	GO:0019538;GO:0009059
772	GO:0065008;GO:0006811;GO:0016043
774	GO:0015849
778	GO:0006520;GO:0006139;GO:0006082
788	GO:0006811
791	GO:0043412;GO:0006396;GO:0016070
792	GO:0043603;GO:0009225;GO:0006082
795	GO:0043603;GO:0006629
799	GO:0006793;GO:0006629
801	GO:0006914
802	GO:0002376;GO:0044419;GO:0050789;GO:0065009;GO:0050896
803	GO:0050789;GO:0050878
804	GO:0050789;GO:0050878
805	GO:0007155;GO:0008037;GO:0002376;GO:0001775;GO:0031640;GO:0050896
807	GO:0006793;GO:0006629;GO:0051604
808	GO:0051640;GO:0016043;GO:0065008;GO:0051641;GO:0006810
811	GO:0006914
812	GO:0065008;GO:0051258;GO:0050789
816	GO:0050789;GO:0048284
818	GO:0050789;GO:0065009
819	GO:0006091;GO:0009117;GO:0006081
820	GO:0006520;GO:0006082
823	GO:0006793;GO:0006629;GO:0051604
